Codigo;Region;Nombre comuna;Numero de personas;Porcentaje;Limite inferior;Limite superior;Metodologia de Estimacion
1101;I de Tarapaca;Iquique;7.928;0,04384;3,7%;5,1%;SAE
1107;I de Tarapaca;Alto Hospicio;9.847;0,07755;6,9%;8,6%;SAE
1401;I de Tarapaca;Pozo Almonte;1.878;0,10880;7,8%;14,7%;SAE
1402;I de Tarapaca;Caminia;220;0,26446;;;Estimacion Sintetica
1403;I de Tarapaca;Colchane;241;0,13948;;;Estimacion Sintetica
1404;I de Tarapaca;Huara;657;0,18824;12,1%;24,9%;SAE
1405;I de Tarapaca;Pica;1.412;0,08635;6,0%;13,3%;SAE
2101;II de Antofagasta;Antofagasta;19.622;0,05064;4,3%;5,9%;SAE
2102;II de Antofagasta;Mejillones;902;0,07661;4,6%;12,2%;SAE
2103;II de Antofagasta;Sierra Gorda;30;0,01411;0,2%;5,2%;SAE
2104;II de Antofagasta;Taltal;309;0,03511;0,8%;4,9%;SAE
2201;II de Antofagasta;Calama;6.676;0,04585;3,3%;5,8%;SAE
2202;II de Antofagasta;Ollague;65;0,20191;;;Estimacion Sintetica
2203;II de Antofagasta;San Pedro de Atacama;384;0,04037;1,8%;7,3%;SAE
2301;II de Antofagasta;Tocopilla;1.957;0,10404;9,1%;11,9%;SAE
2302;II de Antofagasta;Maria Elena;112;0,04994;2,3%;7,9%;SAE
3101;III de Atacama;Copiapo;11.071;0,06261;5,0%;7,5%;SAE
3102;III de Atacama;Caldera;1.559;0,10441;7,2%;16,6%;SAE
3103;III de Atacama;Tierra Amarilla;1.797;0,14250;9,7%;19,0%;SAE
3201;III de Atacama;Chaniaral;1.359;0,12069;8,6%;18,7%;SAE
3202;III de Atacama;Diego de Almagro;619;0,07562;4,4%;11,0%;SAE
3301;III de Atacama;Vallenar;3.811;0,08833;7,3%;10,3%;SAE
3302;III de Atacama;Alto del Carmen;679;0,15273;8,6%;19,2%;SAE
3303;III de Atacama;Freirina;902;0,15727;10,7%;21,1%;SAE
3304;III de Atacama;Huasco;746;0,09721;5,5%;13,5%;SAE
4101;IV de Coquimbo;La Serena;24.640;0,10244;9,0%;11,7%;SAE
4102;IV de Coquimbo;Coquimbo;32.438;0,13409;12,0%;15,4%;SAE
4103;IV de Coquimbo;Andacollo;1.087;0,14849;11,7%;20,2%;SAE
4104;IV de Coquimbo;La Higuera;769;0,20537;16,4%;25,9%;SAE
4105;IV de Coquimbo;Paihuano;476;0,10481;7,3%;16,6%;SAE
4106;IV de Coquimbo;Vicunia;3.227;0,12252;8,8%;16,5%;SAE
4201;IV de Coquimbo;Illapel;3.623;0,12024;8,3%;15,7%;SAE
4202;IV de Coquimbo;Canela;1.835;0,25102;21,0%;31,4%;SAE
4203;IV de Coquimbo;Los Vilos;2.560;0,13812;9,6%;19,1%;SAE
4204;IV de Coquimbo;Salamanca;2.884;0,12529;9,0%;16,7%;SAE
4301;IV de Coquimbo;Ovalle;6.604;0,05742;4,6%;6,7%;SAE
4302;IV de Coquimbo;Combarbala;1.801;0,16210;12,2%;20,5%;SAE
4303;IV de Coquimbo;Monte Patria;6.804;0,21363;17,8%;26,1%;SAE
4304;IV de Coquimbo;Punitaqui;2.624;0,25163;21,4%;31,5%;SAE
4305;IV de Coquimbo;Rio Hurtado;684;0,17194;9,9%;20,7%;SAE
5101;V de Valparaiso;Valparaiso;17.736;0,07078;5,9%;8,3%;SAE
5102;V de Valparaiso;Casablanca;3.032;0,08922;6,2%;12,9%;SAE
5103;V de Valparaiso;Concon;1.968;0,02416;0,8%;4,0%;SAE
5104;V de Valparaiso;Juan Fernandez;47;0,05117;;;Estimacion Sintetica
5105;V de Valparaiso;Puchuncavi;1.503;0,08446;4,6%;12,2%;SAE
5107;V de Valparaiso;Quintero;1.478;0,05289;2,2%;7,4%;SAE
5109;V de Valparaiso;Vinia del Mar;14.411;0,05179;3,9%;6,6%;SAE
5201;V de Valparaiso;Isla de Pascua;629;0,08118;;;Estimacion Sintetica
5301;V de Valparaiso;Los Andes;5.503;0,07007;5,2%;9,3%;SAE
5302;V de Valparaiso;Calle Larga;1.861;0,17180;14,2%;23,2%;SAE
5303;V de Valparaiso;Rinconada;896;0,10531;6,6%;15,6%;SAE
5304;V de Valparaiso;San Esteban;2.011;0,10696;6,8%;15,7%;SAE
5401;V de Valparaiso;La Ligua;6.671;0,16663;13,9%;21,1%;SAE
5402;V de Valparaiso;Cabildo;3.509;0,16371;12,2%;21,4%;SAE
5403;V de Valparaiso;Papudo;448;0,07632;5,0%;12,6%;SAE
5404;V de Valparaiso;Petorca;970;0,10161;7,4%;14,9%;SAE
5405;V de Valparaiso;Zapallar;359;0,04503;1,2%;6,2%;SAE
5501;V de Valparaiso;Quillota;9.012;0,09930;8,0%;12,6%;SAE
5502;V de Valparaiso;Calera;8.856;0,15768;13,9%;18,3%;SAE
5503;V de Valparaiso;Hijuelas;1.810;0,08977;5,5%;13,0%;SAE
5504;V de Valparaiso;La Cruz;1.211;0,06928;4,7%;10,6%;SAE
5506;V de Valparaiso;Nogales;2.142;0,07718;4,4%;10,0%;SAE
5601;V de Valparaiso;San Antonio;7.639;0,07511;6,0%;9,3%;SAE
5602;V de Valparaiso;Algarrobo;522;0,03275;1,0%;6,0%;SAE
5603;V de Valparaiso;Cartagena;2.083;0,06865;3,9%;9,8%;SAE
5604;V de Valparaiso;El Quisco;653;0,03433;1,2%;6,9%;SAE
5605;V de Valparaiso;El Tabo;904;0,06202;2,8%;9,6%;SAE
5606;V de Valparaiso;Santo Domingo;388;0,03980;1,8%;6,5%;SAE
5701;V de Valparaiso;San Felipe;6.748;0,08170;6,8%;9,6%;SAE
5702;V de Valparaiso;Catemu;2.265;0,16868;13,5%;22,1%;SAE
5703;V de Valparaiso;Llay-Llay;1.868;0,07811;4,4%;10,8%;SAE
5704;V de Valparaiso;Panquehue;796;0,10168;6,8%;13,8%;SAE
5705;V de Valparaiso;Putaendo;1.640;0,09252;5,9%;12,3%;SAE
5706;V de Valparaiso;Santa Maria;1.965;0,12910;9,4%;17,5%;SAE
5801;V de Valparaiso;Quilpue;9.299;0,05254;4,1%;6,5%;SAE
5802;V de Valparaiso;Limache;2.087;0,04445;3,8%;5,2%;SAE
5803;V de Valparaiso;Olmue;1.165;0,06922;3,6%;9,5%;SAE
5804;V de Valparaiso;Villa Alemana;5.722;0,03731;2,8%;4,6%;SAE
6101;VI del Libertador General Bernardo O'Higgins;Rancagua;27.606;0,10639;8,8%;12,8%;SAE
6102;VI del Libertador General Bernardo O'Higgins;Codegua;1.185;0,08943;4,6%;12,6%;SAE
6103;VI del Libertador General Bernardo O'Higgins;Coinco;1.091;0,14439;11,1%;21,0%;SAE
6104;VI del Libertador General Bernardo O'Higgins;Coltauco;2.591;0,14443;10,6%;20,2%;SAE
6105;VI del Libertador General Bernardo O'Higgins;Doniihue;1.636;0,07491;4,2%;11,0%;SAE
6106;VI del Libertador General Bernardo O'Higgins;Graneros;2.300;0,07012;5,6%;8,4%;SAE
6107;VI del Libertador General Bernardo O'Higgins;Las Cabras;3.347;0,13330;10,2%;19,0%;SAE
6108;VI del Libertador General Bernardo O'Higgins;Machali;2.812;0,07242;5,2%;10,9%;SAE
6109;VI del Libertador General Bernardo O'Higgins;Malloa;1.707;0,12142;7,7%;17,1%;SAE
6110;VI del Libertador General Bernardo O'Higgins;Mostazal;2.843;0,09991;6,4%;13,7%;SAE
6111;VI del Libertador General Bernardo O'Higgins;Olivar;1.232;0,08492;4,6%;11,8%;SAE
6112;VI del Libertador General Bernardo O'Higgins;Peumo;1.950;0,12511;9,1%;17,7%;SAE
6113;VI del Libertador General Bernardo O'Higgins;Pichidegua;2.302;0,11634;8,0%;17,4%;SAE
6114;VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco;1.566;0,12904;9,4%;18,8%;SAE
6115;VI del Libertador General Bernardo O'Higgins;Rengo;6.667;0,10198;8,3%;12,3%;SAE
6116;VI del Libertador General Bernardo O'Higgins;Requinoa;2.113;0,07709;4,3%;11,2%;SAE
6117;VI del Libertador General Bernardo O'Higgins;San Vicente;3.557;0,07108;4,6%;9,5%;SAE
6201;VI del Libertador General Bernardo O'Higgins;Pichilemu;631;0,04057;0,8%;5,8%;SAE
6202;VI del Libertador General Bernardo O'Higgins;La Estrella;515;0,14014;10,4%;20,1%;SAE
6203;VI del Libertador General Bernardo O'Higgins;Litueche;532;0,09825;6,3%;14,7%;SAE
6204;VI del Libertador General Bernardo O'Higgins;Marchigue;508;0,06260;2,7%;9,1%;SAE
6205;VI del Libertador General Bernardo O'Higgins;Navidad;632;0,11711;7,6%;17,8%;SAE
6206;VI del Libertador General Bernardo O'Higgins;Paredones;989;0,14785;10,5%;20,5%;SAE
6301;VI del Libertador General Bernardo O'Higgins;San Fernando;7.729;0,10123;8,2%;12,6%;SAE
6302;VI del Libertador General Bernardo O'Higgins;Chepica;1.600;0,11950;7,1%;15,5%;SAE
6303;VI del Libertador General Bernardo O'Higgins;Chimbarongo;5.552;0,15857;12,3%;21,1%;SAE
6304;VI del Libertador General Bernardo O'Higgins;Lolol;891;0,13359;9,3%;18,9%;SAE
6305;VI del Libertador General Bernardo O'Higgins;Nancagua;1.990;0,11175;6,8%;15,5%;SAE
6306;VI del Libertador General Bernardo O'Higgins;Palmilla;1.072;0,09128;5,1%;12,8%;SAE
6307;VI del Libertador General Bernardo O'Higgins;Peralillo;812;0,07602;3,8%;11,2%;SAE
6308;VI del Libertador General Bernardo O'Higgins;Placilla;1.506;0,17644;14,4%;25,5%;SAE
6309;VI del Libertador General Bernardo O'Higgins;Pumanque;312;0,10663;6,4%;16,5%;SAE
6310;VI del Libertador General Bernardo O'Higgins;Santa Cruz;1.873;0,04964;3,5%;6,3%;SAE
7101;VII del Maule;Talca;21.110;0,07982;6,7%;9,2%;SAE
7102;VII del Maule;Constitucion;4.330;0,07541;5,3%;9,1%;SAE
7103;VII del Maule;Curepto;1.314;0,15418;10,8%;19,9%;SAE
7104;VII del Maule;Empedrado;625;0,16626;12,2%;21,9%;SAE
7105;VII del Maule;Maule;2.649;0,11032;6,4%;13,6%;SAE
7106;VII del Maule;Pelarco;1.063;0,15975;12,0%;21,3%;SAE
7107;VII del Maule;Pencahue;764;0,08493;4,3%;10,6%;SAE
7108;VII del Maule;Rio Claro;1.358;0,10634;6,8%;14,1%;SAE
7109;VII del Maule;San Clemente;6.534;0,16651;12,7%;20,5%;SAE
7110;VII del Maule;San Rafael;610;0,06978;2,7%;8,1%;SAE
7201;VII del Maule;Cauquenes;8.411;0,20000;17,2%;23,8%;SAE
7202;VII del Maule;Chanco;1.876;0,20374;17,0%;25,1%;SAE
7203;VII del Maule;Pelluhue;1.602;0,19377;16,9%;28,1%;SAE
7301;VII del Maule;Curico;14.755;0,09851;8,3%;11,3%;SAE
7302;VII del Maule;Hualanie;2.235;0,21385;17,0%;26,7%;SAE
7303;VII del Maule;Licanten;1.762;0,23264;19,4%;29,9%;SAE
7304;VII del Maule;Molina;5.636;0,13051;8,9%;16,1%;SAE
7305;VII del Maule;Rauco;1.842;0,18139;14,3%;23,7%;SAE
7306;VII del Maule;Romeral;1.750;0,11691;7,8%;15,5%;SAE
7307;VII del Maule;Sagrada Familia;2.953;0,15671;10,4%;19,0%;SAE
7308;VII del Maule;Teno;2.590;0,09153;5,2%;11,5%;SAE
7309;VII del Maule;Vichuquen;808;0,17128;12,7%;21,7%;SAE
7401;VII del Maule;Linares;10.438;0,11340;9,7%;13,0%;SAE
7402;VII del Maule;Colbun;4.684;0,25092;21,2%;32,7%;SAE
7403;VII del Maule;Longavi;6.806;0,23850;18,6%;28,5%;SAE
7404;VII del Maule;Parral;6.190;0,16911;13,6%;21,2%;SAE
7405;VII del Maule;Retiro;3.655;0,22514;18,4%;30,8%;SAE
7406;VII del Maule;San Javier;8.270;0,20022;16,4%;24,7%;SAE
7407;VII del Maule;Villa Alegre;2.780;0,19621;15,4%;25,8%;SAE
7408;VII del Maule;Yerbas Buenas;3.789;0,22079;18,5%;29,1%;SAE
8101;VIII del Biobio;Concepcion;17.136;0,07695;6,5%;9,2%;SAE
8102;VIII del Biobio;Coronel;13.037;0,11355;9,4%;13,5%;SAE
8103;VIII del Biobio;Chiguayante;13.318;0,08715;7,2%;10,4%;SAE
8104;VIII del Biobio;Florida;1.448;0,15873;12,2%;22,7%;SAE
8105;VIII del Biobio;Hualqui;3.148;0,12908;8,4%;17,9%;SAE
8106;VIII del Biobio;Lota;8.235;0,18130;16,6%;19,7%;SAE
8107;VIII del Biobio;Penco;4.843;0,08587;4,9%;11,9%;SAE
8108;VIII del Biobio;San Pedro de La Paz;12.859;0,12170;9,5%;18,6%;SAE
8109;VIII del Biobio;Santa Juana;2.087;0,15479;10,6%;20,6%;SAE
8110;VIII del Biobio;Talcahuano;13.143;0,07914;6,1%;9,8%;SAE
8111;VIII del Biobio;Tome;4.142;0,07273;5,4%;9,3%;SAE
8112;VIII del Biobio;Hualpen;8.466;0,10530;8,8%;12,7%;SAE
8201;VIII del Biobio;Lebu;3.302;0,13247;8,7%;17,1%;SAE
8202;VIII del Biobio;Arauco;7.301;0,15933;12,6%;21,2%;SAE
8203;VIII del Biobio;Caniete;5.427;0,15804;15,3%;16,5%;SAE
8204;VIII del Biobio;Contulmo;1.058;0,24216;20,0%;32,0%;SAE
8205;VIII del Biobio;Curanilahue;3.532;0,12304;9,4%;15,2%;SAE
8206;VIII del Biobio;Los Alamos;3.514;0,16086;11,2%;20,8%;SAE
8207;VIII del Biobio;Tirua;2.933;0,26081;20,7%;33,3%;SAE
8301;VIII del Biobio;Los Angeles;37.526;0,17415;15,6%;20,0%;SAE
8302;VIII del Biobio;Antuco;963;0,28763;25,7%;39,4%;SAE
8303;VIII del Biobio;Cabrero;3.680;0,11203;7,1%;14,9%;SAE
8304;VIII del Biobio;Laja;3.615;0,19355;13,6%;24,8%;SAE
8305;VIII del Biobio;Mulchen;3.964;0,14801;10,7%;19,8%;SAE
8306;VIII del Biobio;Nacimiento;4.384;0,17353;11,8%;23,1%;SAE
8307;VIII del Biobio;Negrete;1.580;0,17866;11,4%;22,6%;SAE
8308;VIII del Biobio;Quilaco;698;0,21121;16,5%;28,1%;SAE
8309;VIII del Biobio;Quilleco;1.606;0,16048;11,7%;22,6%;SAE
8310;VIII del Biobio;San Rosendo;666;0,20803;15,3%;26,7%;SAE
8311;VIII del Biobio;Santa Barbara;2.423;0,16387;11,6%;22,0%;SAE
8312;VIII del Biobio;Tucapel;2.145;0,15767;11,2%;21,6%;SAE
8313;VIII del Biobio;Yumbel;4.174;0,21028;17,7%;29,6%;SAE
8314;VIII del Biobio;Alto Biobio;3.741;0,39734;33,1%;47,0%;SAE
9101;IX de la Araucania;Temuco;34.717;0,10372;9,1%;11,8%;SAE
9102;IX de la Araucania;Carahue;5.770;0,24397;20,4%;31,4%;SAE
9103;IX de la Araucania;Cunco;3.523;0,19654;14,2%;24,8%;SAE
